ETC_20150317_000001	Kepa	케파
ETC_20150317_000073	Brown Zigri	갈색 지그리
ETC_20150317_000074	Enjoy the slaughter is minions of Asmodian.	살육을 즐기는 마족의 졸개입니다.
ETC_20150317_000075	Black Zigri	검은 지그리
ETC_20150317_000076	This Asmodian of minions is Masu Farugechigo appeared around the whole world.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.
ETC_20150317_000077	Red zigri	붉은 지그리
ETC_20150317_000078	Fisherman	피셔맨
ETC_20150317_000079	Mutant Fisherman	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.
ETC_20150317_000080	Blue Fisherman	푸른 피셔맨
ETC_20150317_000081	Green Fisherman	초록 피셔맨
ETC_20150317_000082	Red Fisherman	붉은 피셔맨
ETC_20150317_000083	Fisherman of action is often part that can not be explained.	피셔맨들의 행태는 설명되지 않는 부분이 많습니다.
ETC_20150317_000084	Gribaru	그리바루
ETC_20150317_000085	Head of stem detection, will be used for various purposes such as attractants.	머리의 줄기는 탐지, 유인 등 여러 목적으로 사용됩니다.
ETC_20150317_000086	Big Gribaru	빅그리바루
ETC_20150317_000087	Thorn Forest Griba	가시숲 그리바
ETC_20150317_000088	Matsum	메슘
ETC_20150317_000089	Meshumu is whether the monsters that were derived from plants and animals and what mineral is not important. Thing you should know is that risk.	메슘이 동식물 혹은 어떤 광물에서 기원한 몬스터인지는 중요하지 않습니다. 알아야 할 것은 그 위험성입니다.
ETC_20150317_000090	Matsuma	메슘마
ETC_20150317_000091	Mirtis Ego	분신 미르티스
ETC_20150317_000092	Molich	몰렉
ETC_20150317_000093	Mini Griba	미니 그리바
ETC_20150317_000094	Green Griba	초록 그리바
ETC_20150317_000095	Red Griba	붉은 그리바
ETC_20150317_000096	It looks to bright colors and eye. However, just because it is not easy avoid.	밝은 색이라 눈에 잘 보이기는 하지만, 그렇다고 피하기 쉽지는 않습니다.
ETC_20150317_000097	Yellow Griba	노란 그리바
ETC_20150317_000098	Large Red Griba	대형 붉은 그리바
ETC_20150317_000099	Big Griba	빅 그리바
ETC_20150317_000100	There are words that someone expresses his or her appreciation the people, hard to even eat prevent monsters.	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터.
ETC_20150317_000101	Big Blue Griba	푸른 빅 그리바
ETC_20150317_000102	Bother going to hunt large strongly crunchy is the monster that was Korimujiku.	크고 강하고 질기지만 일부러 사냥하러 다니기에는 꺼림직한 몬스터입니다.
ETC_20150317_000103	Green Big Griba	초록 빅 그리바
ETC_20150317_000104	Red Big Griba	붉은 빅 그리바
ETC_20150317_000105	Old Kepa	늙은케파
ETC_20150317_000106	Kepas has I have aging Pokusaku to suck the flower. Note from spicy scent has become even stronger.	케파가 꽃을 피우느라 폭삭 늙어버렸습니다. 매운 향이 한층 더 강해졌으니 주의.
ETC_20150317_000107	Gelsvas Old Kepa	겔스바스 늙은케파
ETC_20150317_000108	Black old Kepa	검은 늙은케파
ETC_20150317_000109	Red old Kepa	붉은 늙은케파
ETC_20150317_000110	Kepa color survived change as long as old is only by risk it.	늙어 색이 변할 정도로 오래 생존한 케파는 그런 만큼 더 위험합니다.
ETC_20150317_000111	Large old Kepa	대형 늙은케파
ETC_20150317_000112	Rafflesia	라플레시아
ETC_20150317_000113	Green Rafflesia	초록 라플레시아
ETC_20150317_000114	Black Rafflesia	검은 라플레시아
ETC_20150317_000115	Leaves of this plant, I will and stronger than leather.	이 식물의 잎은 가죽보다 강하다고 합니다.
ETC_20150317_000116	Red Rafflesia	붉은 라플레시아
ETC_20150317_000117	Raffly	라플리
ETC_20150317_000118	Even after it has been Rapururi mutations, and hunting small insects.	라플리 변이된 후에도 작은 곤충을 사냥합니다.
ETC_20150317_000119	Blue Raffly	푸른 라플리
ETC_20150317_000120	Gray Raffly	회색 라플리
ETC_20150317_000121	Black Raffly	검은 라플리
ETC_20150317_000122	Ridimed	리디메드
ETC_20150317_000123	Blue Ridimed	푸른 리디메드
ETC_20150317_000124	Has been deformed by the pool, the entire body is solid wood now.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.
ETC_20150317_000125	Black Ridimed	검은 리디메드
ETC_20150317_000126	Red Ridimed	붉은 리디메드
ETC_20150317_000127	Sakmoli	사크몰리
ETC_20150317_000128	It does not fall down when you attack the legs.	다리를 공격한다고 쓰러지지 않습니다. 
ETC_20150317_000129	Green Sakmoli	초록 사크몰리
ETC_20150317_000130	Orange Sakmoli	주홍 사크몰리
ETC_20150317_000131	Black Sakmoli	검은 사크몰리
ETC_20150317_000132	Rikaus	리카우스
ETC_20150317_000133	Green Apparition	초록 어패리션
ETC_20150317_000134	Ghost that were affected by the Asmodian is this way there are many day running appearance.	마족의 영향을 받은 유령은 이처럼 생김새가 달리지는 일이 많습니다.
ETC_20150317_000135	Black Apparition	검은 어패리션
ETC_20150317_000136	Spectra	스펙트라
ETC_20150317_000137	Black spectrum	검은 스펙트라
ETC_20150317_000138	Unlike the monsters of other Myan Leong Ryu, these are often it is an evil soul also the time you were alive.	다른 먕령류의 몬스터와 달리 이들은 살았을 적에도 사악한 영혼인 경우가 많습니다.
ETC_20150317_000139	Giant Specter	대형 스펙터
ETC_20150317_000140	Specter of Dazzled	현혹의 스펙터
ETC_20150317_000141	Green Rikaus	초록 리카우스
ETC_20150317_000142	Spectron	스펙트론
ETC_20150317_000143	Specter Master	스펙터 군주
ETC_20150317_000144	Dunball	던볼
ETC_20150317_000145	Part is kind of seeds change, fluffy without losing abundant capacity is monster that has been transformed into the outer skin of visibility and solid.	부유형 씨앗이 변이되면서 부유능력은 잃지 않고 솜털은 가시와 단단한 외피로 변형된 몬스터입니다.
ETC_20150317_000146	Big thornball	빅던볼
ETC_20150317_000147	Woodspirit	우드스피릿
ETC_20150317_000148	Blue Woodspirit	푸른 우드스피릿
ETC_20150317_000149	Green Woodspirit	초록 우드스피릿
ETC_20150317_000150	Woodman	우드맨
ETC_20150317_000151	that Woodman does not move I will a big blessing.	우드맨이 움직이지 못하는 점은 큰 축복이라 하겠습니다.
ETC_20150317_000152	Blue Woodman	푸른 우드맨
ETC_20150317_000153	Gray Woodman	회색 우드맨
ETC_20150317_000154	Red Woodman	붉은 우드맨
ETC_20150317_000155	slime_dark	다크슬라임
ETC_20150317_000156	Slime, depending on the difference in the final form is the prototype and also similar materials, various types occurs.	슬라임은 최종 형태는 비슷해도 원형이 되는 물질의 차이에 따라 다양한 종류가 생깁니다.
ETC_20150317_000157	rusrat	러스라트
ETC_20150317_000158	In perspective the Zasharieru King Mausoleum, is the nickname obtained demons while getting rid of the intruder are arranged in a plurality of ruins.	자카리엘 왕릉을 시점으로 여러 유적에 배치되어 침입자를 처치하면서 도굴꾼들에게 얻은 별명입니다.
ETC_20150317_000159	medakia	메다키아
ETC_20150317_000160	Court Sorcerers, in preparation for when there is no simple ghouls attacker, has created a backpack Kia.	궁정마법사들은 침입자가 단순 도굴꾼이 아닐 때를 대비해 메다키아를 만들었습니다.
ETC_20150317_000161	Wheelen	휠렌
ETC_20150317_000162	In order to without administrator patron a sealed ruins, is created creatures of various magic, Firuren is also the kind	밀폐된 유적을 관리자없이 수호하기 위해 다양한 마법피조물이 만들어졌으며 휠렌도 그 한 종류입니다
ETC_20150317_000163	Wheelen 3	휠렌3
ETC_20150317_000164	mauros	마우로스
ETC_20150317_000165	Wang Ling stoneware bottle is creatures of strongly clever heavily armed articles were also made about margin magic.	왕릉석기병은 강하고 노련한 중무장 기사도 감당할 정도로 만들어진 마법피조물입니다.
ETC_20150317_000166	truffle	트리펠리
ETC_20150317_000167	Cause do not know, is a monster that extremely hate the man, I like to attack the human than the survival and food.	원인은 모르나 인간을 극히 증오하는 몬스터이며 생존이나 먹이보다 인간을 공격하기 좋아합니다.
ETC_20150317_000168	Treepellia	트리펠리아
ETC_20150317_000169	bramble	브람블
ETC_20150317_000170	Bramble Ego	브람블의 분신
ETC_20150317_000171	Willow	윌로우
ETC_20150317_000172	Willowna	윌로우나
ETC_20150317_000173	Hanaming	하나밍
ETC_20150317_000174	Leaves dropped that killed one light, usually rapidly.	하나밍이 죽으며 떨어진 잎은 대개 급속히 시듭니다.
ETC_20150317_000175	Chupacabra	츄파카브라
ETC_20150317_000176	Growing number after vegetation disaster, tend to compete for human and area became larger.	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다.
ETC_20150317_000177	Gray Chupacabra	회색 츄파카브라
ETC_20150317_000178	Large Gray Chupacabra	대형 회색 츄파카브라
ETC_20150317_000179	Chupacabra will move in secret. And this point, if the elite Chupacabra, is more dangerous for humans.	츄파카브라는 은밀하게 움직입니다. 그리고 이 점은 엘리트 츄파카브라의 경우 인간에게 더욱 위험합니다. 
ETC_20150317_000180	Yellow Chupacabra	노란 츄파카브라
ETC_20150317_000181	Popolion	포포리온
ETC_20150317_000182	According to someone, and then the treble of Popolion can break even glass bottles.	누군가에 의하면 포포리온의 고음은 유리병도 깨뜨릴 수 있다고 합니다.
ETC_20150317_000183	Sauga	사우가
ETC_20150317_000184	Saugas	사우가스
ETC_20150317_000185	Scorpion	스콜피온
ETC_20150317_000186	Tontulia	톤투리아
ETC_20150317_000187	Tone tooth is the mutated monster who has activities force.	톤투스가 활동력을 지니도록 변이한 몬스터입니다.
ETC_20150317_000188	Tontus	톤투스
ETC_20150317_000189	Cactus is mutated to tons Tooth, dry harsh environment of residents of the region was further worsened.	선인장이 톤투스로 변이되면서 건조한 지역 거주자의 힘든 환경은 더욱 악화되었습니다. 
ETC_20150317_000190	Vekarabe	베카라베
ETC_20150317_000191	Compared to Bebikarabe other animals were kept monster of the circular. Of course, aggression is an exception.	베카라베는 다른 동물에 비하면 원형 그대로 몬스터화했습니다. 물론 공격성은 예외입니다.
ETC_20150317_000192	Geppetto	제페토
ETC_20150317_000193	The name of this monster, but suit the appearance, the nature of which you have without any reflection.	이 몬스터의 명칭은 외양과는 어울리지만, 그 성질은 전혀 반영하지 않고 있습니다.
ETC_20150317_000194	Boowook	부우크
ETC_20150317_000195	Zasharieru is the one of the defensive facilities king Ling who left.	자카리엘이 남긴 왕릉의 수비시설 중의 하나입니다.
ETC_20150317_000196	Bearkaras	베아카라스
ETC_20150317_000197	Pino	피노
ETC_20150317_000198	Early discoverer, to think that there is a similarity between the Zepetto and Pinot, I put such name.	초기 발견자들은 제페토와 피노 사이에 유사성이 있다고 생각해 이런 이름을 붙였습니다.
ETC_20150317_000199	Helmet bug	투구벌레
ETC_20150317_000200	Simply size and aggression is more enhanced such monsters will be peace of mind rather.	단순히 크기와 공격성만 더 강화된 이런 몬스터는 차라리 안심이 됩니다.
ETC_20150317_000201	Cauliflower	콜리플라워
ETC_20150317_000202	The fixed type monster does Mase hostile binary especially in humans, but I will attack all of a warm-blooded animal.	이 고정형 몬스터는 딱히 인간에게 적대적이진 않으나 모든 항온동물을 공격합니다.
ETC_20150317_000203	Cauliflower	콜리플라워르
ETC_20150317_000204	Vikaras	비카라스
ETC_20150317_000205	Origin, but is a facility of the King Mausoleum, now is the malfunction state to attack all creatures.	기원은 왕릉의 시설물이지만 현재는 모든 생명체를 공격하는 오작동 상태입니다.
ETC_20150317_000206	Cockatries	코카트리스
ETC_20150317_000207	It is a cockatrice of small size. Of course, you need to be aware of the mineralization.	작은 크기의 코카트리스입니다. 물론 석화에 주의해야합니다.
ETC_20150317_000208	Tsumudoku	툼독
ETC_20150317_000209	zinutekas	지누테카스
ETC_20150317_000210	also appearance is confused with other monsters that are similar, but these are creatures of artificial magic.	외양이 유사한 다른 몬스터와 혼동되기도 하지만, 이들은 인공적인 마법피조물입니다.
ETC_20150317_000211	Pokubu	포쿠부
ETC_20150317_000212	Appearance Whatever, it is Poku part ferocious beast.	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다.
ETC_20150317_000213	Gray Pokubu	회색 포쿠부
ETC_20150317_000214	Jinutena	지누테나
ETC_20150317_000215	Lauzinutena	라우지누테나
ETC_20150317_000216	Danderu	단델
ETC_20150317_000217	Fluff of Danderu that horrible than those keratinization, it is increasing the vitality and aggression.	단델의 솜털이 각질화한 것보다 무서운 것은 늘어난 활동력과 공격성입니다. 
ETC_20150317_000218	Candle spider	양초거미
ETC_20150317_000219	Blue candle spider	푸른 양초거미
ETC_20150317_000220	Yellow Candle Spider	노란 양초거미
ETC_20150317_000221	Corpse flower	시체꽃
ETC_20150317_000222	Blue body of flowers	푸른 시체꽃
ETC_20150317_000223	Green Corpse Flower	초록 시체꽃
ETC_20150317_000224	Flying Frog	날개 개구리
ETC_20150317_000225	Frog Depending on the environment, in this case it is a monster in various forms, has been deformed who have wings.	개구리는 환경에 따라 다양한 형태로 몬스터화 되었는데 이 경우에는 날개를 지니도록 변형되었습니다.
ETC_20150317_000226	Green Wing Frog	초록 날개 개구리
ETC_20150317_000227	Gray Wing Frog	회색 날개 개구리
ETC_20150317_000228	Liverwort	우산이끼
ETC_20150317_000229	Liverwort v2	우산이끼v2
ETC_20150317_000230	Leaf Bug	잎방개
ETC_20150317_000231	Leaf Bug's inside is not empty.	잎방개의 속은 비어있지 않습니다. 
ETC_20150317_000232	Catacomb Leaf Bug	카타콤 잎방개
ETC_20150317_000233	King Liverwort	킹 우산이끼
ETC_20150317_000234	Unfortunate Liverwort	불길한 킹 우산이끼
ETC_20150317_000235	Salamion	살라미온
ETC_20150317_000236	Salindi	살린디
ETC_20150317_000237	Salun	살룬
ETC_20150317_000238	Gravegolem	묘지골렘
ETC_20150317_000239	Originally have been made in good faith, now is a golem that moves under the influence evil aura.	본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이는 골렘입니다.
ETC_20150317_000240	Drake	드레이크
ETC_20150317_000241	It is a sub Asmodian that Asmodian was elected in Makai for Cheats tower.	탑의 공략을 위해 마족들이 마계에서 차출한 하위마족입니다. 
ETC_20150317_000242	Green Drake	초록 드레이크
ETC_20150317_000243	The Makai the lower Asmodian many types as it is not possible to count these numbers also a plentiful.	하급 마족으로 마계에는 이들이 수를 셀 수 없을 정도로 많고 종류도 다양하다고 합니다.
ETC_20150317_000244	Black Drake	검은 드레이크
ETC_20150317_000245	These are a former of rare species, in recent years of the number has increased.	이들은 원래 희귀한 생물이었으나 근래 숫자가 늘어났습니다.
ETC_20150317_000246	Big_Cockatries	빅 코카트리스
ETC_20150317_000247	Is a large cockatrice. Risk of danger, especially petrochemical, there is no be too emphasized.	대형 코카트리스입니다. 위험성, 특히 석화위험성은 아무리 강조해도 지나치지 않습니다.
ETC_20150317_000248	Green Kokateu	초록 코카트
ETC_20150317_000249	Red Kokateu	붉은 코카트
ETC_20150317_000250	Sequoia	세콰이아
ETC_20150317_000251	Blue Sequoia	푸른 세콰이아
ETC_20150317_000252	Corrupted	코럽티드
ETC_20150317_000253	Blue Corrupted	푸른 코럽티드
ETC_20150317_000254	Bagworm	누덕고치
ETC_20150317_000255	Nudoku fixed no longer occur, but monsters do not need to worry about the extinction only the current number of individuals.	누덕고치는 더 이상 발생하지는 않지만, 현재 개체수만으로도 멸종을 걱정할 필요가 없는 몬스터입니다. 
ETC_20150317_000256	Barworm cheat	누덕고치트
ETC_20150317_000257	Sequoia Flame	세콰이아의 불길
ETC_20150317_000258	You naturally disappear and leave a long time in the body.	본체에서 오랜 시간 멀어지면 자연히 소멸됩니다.
ETC_20150317_000259	Old Hook	누덕 갈고리
ETC_20150317_000260	After came from Makai will be given by using a hook to big monster, it is a monster that has a lot of change.	큰 몬스터에게 갈고리를 사용하여 붙어서 마계로부터 넘어온 후 많은 변화를 한 몬스터입니다. 
ETC_20150317_000261	Short tree	몽당 나무
ETC_20150317_000262	this monster that logging is due to the stub also decreased I occurs much. Generated by the residue of trees type monster is witnessed.	벌목이 줄었어도 그루터기에서 기인한 이 몬스터는 계속 생깁니다. 수목형 몬스터의 잔재에서 생성이 목격됩니다. 
ETC_20150317_000263	Catacomb Gravegolem	카타콤 묘지골렘
ETC_20150317_000264	Root Mole	뿌리두더쥐
ETC_20150317_000265	Poiming	포이밍
ETC_20150317_000266	Root of the tree mole	나무뿌리 두더지
ETC_20150317_000267	Eye of Mirtis	미르티스의 눈
ETC_20150317_000268	Eye of Great Mirtis	대형 미르티스의 눈
ETC_20150317_000269	Stone	돌
ETC_20150317_000270	Vubbe Extermination Bomb	부베 박멸용 폭탄
ETC_20150317_000271	Time bomb (score dungeon only)	시한폭탄 (스코어던전 전용)
ETC_20150317_000272	Time bomb	시한폭탄
ETC_20150317_000273	OBB stone	OBB돌
ETC_20150317_000274	Male Wizard	남자 마법사
ETC_20150317_000275	Female Wizard	여자 마법사
ETC_20150317_000276	Damaged seal	파손된 봉인
ETC_20150317_000277	Symbol of Sin	죄악의 상징
ETC_20150317_000278	(Temporary) prison control device	(임시)감옥 통제 장치
ETC_20150317_000279	Collapsed guard	쓰러진 경비병
ETC_20150317_000280	Mercenary	용병
ETC_20150317_000281	Ghost Soldier	유령 병사
ETC_20150317_000282	Deserter	탈영병
ETC_20150317_000283	Lunatic Soldier	광증걸린 전투병
ETC_20150317_000284	Tied combatants	묶인 전투원
ETC_20150317_000285	Officials of the mercenary	용병 장교
ETC_20150317_000286	Condottiere	용병 대장
ETC_20150317_000287	Shield Mercenary	방패 용병
ETC_20150317_000288	Ghost Armor	유령 갑옷
ETC_20150317_000289	Large ghost armor	대형 유령 갑옷
ETC_20150317_000290	Follower Ghost	신도 유령
ETC_20150317_000291	Boy Ghost	유령 소년
ETC_20150317_000292	Madam Ghost	유령 아줌마
ETC_20150317_000293	Ghost Uncle	유령 아저씨
ETC_20150317_000294	Follower Ghost Leader	신도 유령 수장
ETC_20150317_000295	Follower Ghost (alter ego)	신도 유령(분신)
ETC_20150317_000296	Three eyed horn	뿔 세눈박이
ETC_20150317_000297	Three Eyed Wing	날개 세눈박이
ETC_20150317_000298	Follower	신도
ETC_20150317_000299	Heavy Infantry Zombie	좀비 중보병
ETC_20150317_000300	Magic Book	매직북
ETC_20150317_000301	Unripe Pumpkin	덜 익은 호박
ETC_20150317_000302	Well die onion	잘 죽는 양파
ETC_20150317_000303	Large HP Onion	피통 큰 양파
ETC_20150317_000304	Amber Target	호박 타겟
ETC_20150317_000305	Measure	방책
ETC_20150317_000306	Defense Guardian	디펜스 수호물
ETC_20150317_000307	Babauzi	바바우지스
ETC_20150317_000308	Nejizonbi	나사 좀비
ETC_20150317_000309	Zombie berserk	좀비 광전사
ETC_20150317_000310	Candle Zombie	양초 좀비
ETC_20150317_000311	Zombie shooter	좀비 궁수
ETC_20150317_000312	Wheelchair Zombie	휠체어 좀비
ETC_20150317_000313	High Bubbe Archer	하이 부베 궁수
ETC_20150317_000314	desmodus	데스모두스
ETC_20150317_000315	One theory, you may Asmodian to use the messenger.	일설에는 마족들이 전령으로 이용한다고도 합니다.
ETC_20150317_000316	Treasure Vubbe	트레저 부베
ETC_20150317_000317	Vubbe Thief	부베 약탈자
ETC_20150317_000318	The most frequently seen Vubbe.	인간들에게 가장 자주 목격되는 부베입니다.
ETC_20150317_000319	Red Vubbe Robber	붉은 부베 약탈자
ETC_20150317_000320	Over the past years Vubbes have become complex and differentiated.	지난 몇 년간 부베 사회는 시간이 지날수록 급격히 분화되고 복잡해져 왔습니다. 
ETC_20150317_000321	Blue Vubbe Thief	푸른 부베 약탈자
ETC_20150317_000322	Vubbe Miner	부베 광부
ETC_20150317_000323	Frequently seen mining but since Vubbe's social system is unknown, we don't know if their roles are permanent.	채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다. 
ETC_20150317_000324	Red Vubbe Miner	붉은 부베 광부
ETC_20150317_000325	Blue Vubbe Miner	푸른 부베 광부
ETC_20150317_000326	Large Vubbe Miner	대형 부베 광부
ETC_20150317_000327	Vubbe Archer	부베 궁수
ETC_20150317_000328	Vubbe Archers specialize in using weapons. This is why some people claim that each vubbe has specific roles.	부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.
ETC_20150317_000329	Red Vubbe archer	붉은 부베 궁수
ETC_20150317_000330	It is possible to collect and use bows and arrows the Vubbes made.	부베들이 만든 활과 화살을 수거해서 사용하는 일도 가능하긴 합니다.
ETC_20150317_000331	Fine observation	눈팅이
ETC_20150317_000332	Eye	눈까리
ETC_20150317_000333	Prison Guard	감옥 간수
ETC_20150317_000334	Paladin believer A1	팔라딘 추종자A1
ETC_20150317_000335	Paladin believer A2	팔라딘 추종자A2
ETC_20150317_000336	Paladin Follower 3	팔라딘 추종자A3
ETC_20150317_000337	Explosion Mine	폭발 지뢰
ETC_20150317_000338	Toxic mine	맹독 지뢰
ETC_20150317_000339	Antipersonnel mines	대인 지뢰
ETC_20150317_000340	Hell mine	불지옥 지뢰
ETC_20150317_000341	Villager	마을사람
ETC_20150317_000342	Baby angel statue	아기천사상
ETC_20150317_000343	Hall Statue	홀 석상
ETC_20150317_000344	Hidden Trigger Monster Type	히든 트리거 몬스터형
ETC_20150317_000345	Carve Owl	부엉이 조각상
ETC_20150317_000346	Transparent Object	투명 오브젝트
ETC_20150317_000347	Fire Ball	파이어 볼
ETC_20150317_000348	Armed Tortoise Shell Large	자주포 거북 껍질 대
ETC_20150317_000349	Armed Tortoise Shell	자주포 거북 껍질
ETC_20150317_000350	Male Apostate (3D)	남자 배교자(3D)
ETC_20150317_000351	Female Apostate (3D)	여자 배교자(3D)
ETC_20150317_000352	Modification	수정
ETC_20150317_000353	Word Pome Nation	어보미네이션
