QUEST_20150317_000001	Pilih Quest yang akan dimodifikasi.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150317_000023	But, only you and I could save the world.{nl}	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}
QUEST_20150317_000024	I passed the next revelation to the first Paladin.{nl}I will be waiting for you at the garden at the top.	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.
QUEST_20150317_000025	Evil forces and will be but I do not feel at all. {Nl} Then, this revelation is true of Laima goddess .. just awesome.	사악한 힘이나 의지는 전혀 느껴지지 않는군요.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그저 놀랍습니다.
QUEST_20150317_000026	Okay, Please go back to Uska.{nl}He will tell you where to go.{nl}May the Goddess bless for your future..	자, 어서 우스카님께 돌아가세요.{nl}그분이라면 당신이 어디로 가야 할지를 알려줄 겁니다.{nl}당신의 앞날에 여신의 축복이 깃들기를..
QUEST_20150317_000027	Please select preferred Smart Gen.	원하는 스마트젠을 선택하세요.
QUEST_20150317_000028	William	윌리엄
QUEST_20150317_000029	It will be 100 Silvers.{nl}This is cheaper compared to going straight into a bunch of monsters.	이용 요금은 100실버입니다.{nl}몬스터 한복판을 헤쳐가느니 차라리 이게 싸죠.
QUEST_20150317_000030	Cans bug	캔버그
QUEST_20150317_000031	It will be 100 Silvers.{nl}This amount includes operating, labor and other expenses.	이용 요금은 100실버입니다.{nl}운영비, 인건비 등 여러 가지가 포함된 금액이지요.
QUEST_20150317_000032	Sorry.. It's not available for free.{nl}You should know well by now..	공짜로는 좀.. 죄송합니다.{nl}아실만한 분이 더 그러시면..
QUEST_20150317_000033	No. It's not free of charge.{nl}Even if you are the Revelator, there are things that are impossible.	공짜로는 안된다니까요. {nl}아무리 계시자님이라도 되는 게 있고 안 되는 게 있는 법이지요.
QUEST_20150317_000034	Wandering Merchant	방랑 상인
QUEST_20150317_000035	I am a poor, wandering merchant.{nl}Well, since we've met, do you want to take a look on what I have?	이 가련한 몸, 소개하자면 한 줄기 바람에 이끌려 방랑하는 민들레 홀씨이외다.{nl}이렇게 만난 것도 기이한 인연인데 좋은 물건 한 번 구경해 보시겠소?
QUEST_20150317_000036	Christina	크리스티나
QUEST_20150317_000037	Selamat Datang untukmu. {Nl} Apakah kamu mencari teman untuk bertualang? {Nl} Tidak ada Companion yang lebih baik dari mereka.	어서 오세요.{nl}마음 맞는 친구를 찾으시나 보네요.{nl}여행엔 요 녀석들만큼 좋은 동반자는 찾기 힘들지요.
QUEST_20150317_000038	Kamu dapat membuat companions menyaksikan pertarunganmu atau melatihnya dengan special attributes. {nl} Jika hubungan kamu sudah sangat baik, kamu bisa membelikannya equipment yang keren. {nl}	컴패니언에게 당신이 싸우는 것을 옆에서 지켜 보게 하거나 특성 훈련을 시킬 수도 있어요.{nl}좀 더 애정이 가는 컴패니언이라면 멋진 장비를 사줄 수도 있겠지요.{nl}
QUEST_20150317_000039	Companion yang tumbuh dengan kasih sayang kamu akan memberi bonus stamina dan evasion pada masternya. {nl} Bagaimana menurutmy? Bukankah companion cukup baik untukmu?	당신의 사랑을 받고 자란 컴패니언은 탑승자의 체력과 회피율을 높여줄 거예요.{nl}어때요. 이만 하면 멋진 당신의 동반자가 아닐까요?
QUEST_20150317_000040	Kamu membutuhkan key untuk box.	상자에 맞는 열쇠가 필요합니다.
QUEST_20150317_000041	Select Quest	퀘스트 선택
QUEST_20150317_000042	Modify Quest status	퀘스트 상태변경
QUEST_20150317_000043	Force start?	강제 시작?
QUEST_20150317_000044	Items to be deleted	삭제할 아이템
QUEST_20150317_000045	Select GenType	GenType 선택
QUEST_20150317_000046	Select coordinates	좌표 선택
QUEST_20150317_000047	Knight Titas	기사 티타스
QUEST_20150317_000048	Jika begitu, temui Knight Commander Uska di Klaipeda. {Nl} Tapi sebelum itu, aku ingin memberitahu sesuatu, ikuti aku.	맞다면 클라페다의 기사단장 우스카님을 찾아가게.{nl}하지만 그 전에 긴히 할 얘기가 있으니 따라오게.
QUEST_20150317_000049	I hope I have some time to rest..	잠시 쉴 틈이 있으면 좋겠군.. 
QUEST_20150317_000050	Sparnas..{nl}Not an easy guy..	스파르나스..{nl}만만치 않은 상대..
QUEST_20150317_000051	Soldier Moody	병사 무디
QUEST_20150317_000052	Let's talk again after we defeat this monster.	우선 이 몬스터를 처리하고 이야기하지요.
QUEST_20150317_000053	Joint Investigation Team Scott	합동조사단 스캇
QUEST_20150317_000054	I hope the day when our Team isn't needed anymore comes soon..{nl}Ah, I mean peaceful days. Haha..{nl}	우리 합동조사단이 필요 없어지는 날이 빨리 왔으면 좋겠는데..{nl}아, 평화로운 세상 말이야. 하하..{nl}
QUEST_20150317_000055	I don't know what to do.{nl}Have you heard anything?	처음부터 시작하려니 감이 잡히는 게 없네.{nl}혹시 넌 뭐 들은 건 없어?
QUEST_20150317_000056	We were sent by the kingdom to investigate on the strange incidents taking place in the forest. {Nl} Witnesses say they saw huge face and bony fingers {nl} What could that be?	우린 왕실의 명령으로 이 숲에서 벌어지고 있는 기이한 사건을 조사하러 왔어.{nl}목격자들 말로는 커다란 얼굴과 앙상한 손가락을 보았다는군.{nl}도대체 그게 뭐람?
QUEST_20150317_000057	In the past, Pilgrims used to go across this forest.{nl}But, nowadays, there are only lots of soldiers because of monsters.	과거에는 순례자들이 이 숲을 거쳐 가는 일도 있었죠.{nl}하지만 지금은 몬스터 때문에 병사들만 가득하네요.
QUEST_20150317_000058	Until 4 years ago, the Goddesses occasionally showed themselves from time to time. {Nl} But now, they do not appear no matter how hard we pray. {Nl} Could they really have abandoned us?	4년 전까지만 해도 여신들께선 종종 모습을 드러내셨죠.{nl}그런데 지금은 아무리 기도를 드려도 미동조차 없으시네요.{nl}정말 우리를 버리신 걸까요?
QUEST_20150317_000059	Vecenin takes care of things by going back and forth to each area himself. {Nl} He says it's too stuffy to just stay in one city.	바세닌님께서는 각 지역을 직접 오가면서 일을 처리하십니다.{nl}도시에 계시면 답답하시다면서 말이죠.
QUEST_20150317_000060	Have you thought about staying here permanently or becoming a soldier? {Nl} I'll gladly recommend you to the head commanders.	혹시 여기 계속 머무르시거나 군인이 되실 생각은 없으십니까?{nl}생각이 있다면 제가 상부에 잘 말해보겠습니다.
QUEST_20150317_000061	Don't let your guard down. You'll never know when and where the monsters will emerge.	언제 어디서 몬스터가 덤빌지 모르니 방심할 수 없어요.
QUEST_20150317_000062	I wonder where Goddess Zemyna is..	제미나 여신께선 도대체 어디로 가셨는지..
QUEST_20150317_000063	What are these anyways?	이게 다 도대체 뭐랍니까.
QUEST_20150317_000064	The Goddess Zemyna will be sad more than anybody.	 누구보다도 대지의 여신인 제미나님께서 슬퍼하실 겁니다.
QUEST_20150317_000065	Pokubus have been around since before. {nl} But unknown monsters are also spotted sometimes.	포쿠부는 예전에도 본 적이 있죠.{nl}하지만 이 녀석 말고도 가끔 알 수 없는 몬스터도 나타납니다.
QUEST_20150317_000066	I thought about it. The goddess has abondoned us.{nl}If not, there woudn't be that many monsters.	제 생각에는요. 여신께서 우리를 버린 게 틀림없어요.{nl}그게 아니라면 몬스터가 저렇게 많을 리 없죠.
QUEST_20150317_000067	I heard there's a person living in the forest near here that received the power from Goddess..	이 근방 숲에 여신의 힘을 받은 사람이 산다는데..
QUEST_20150317_000068	I want to return to my hometown.	고향으로 돌아가고 싶습니다.
QUEST_20150317_000069	The amount of monsters doesn't seem to lessen no matter how much we kill	여기서 아무리 몬스터를 잡아도 도통 줄어들지 않습니다.
QUEST_20150317_000070	Revelator, Did Julian send you?	계시자라니, 줄리안이 보낸 거요?
QUEST_20150317_000071	No way.{nl}You are the first person I meet in the last several years in this forest.{nl}	그럴 리가 없어요.{nl}최근 몇 년간 이 숲에서 만난 사람은 당신이 처음인걸요.{nl}
QUEST_20150317_000072	I will show you what I saw.	제가 본 것을 보여드릴게요.
QUEST_20150317_000073	Don't worry about me and please just leave.{nl}Ah, beautiful flowers are coming.	내 걱정은 말고 그냥 돌아가시오.{nl}아, 예쁜 꽃들이 몰려오는구먼.
QUEST_20150317_000074	Lennar	레나
QUEST_20150317_000075	Ceritakan aku tentang pengalamanmu. {nl} Seperti kata Vivora, kami mencatat semua yang terjadi didunia.	당신의 소중한 경험담을 들려주세요.{nl}저희 교단에서는 바이보라님의 의지에 따라 세상의 모든 것을 기록하고 있답니다.
QUEST_20150317_000076	F slow car	헤느리카
QUEST_20150317_000077	Halo. Ini adalah Magical Association's cabang Klaipeda. {Nl} Kami mempelajari hal misterius saat mengumpulkan bahan yang spesial.	안녕하세요. 마법협회 클라페다 지부입니다.{nl}저희는 특별한 물건들이 모일 때 벌어지는 신비한 현상에 대해 연구하고 있답니다.
QUEST_20150317_000078	There's only steam and Vubbes here. {nl} A big face in here.. What could it be?	여긴 아무리 봐도 습기랑 부베밖에 없는 것 같아.{nl}이런 데에서 커다란 얼굴이라니, 도대체 뭐가 튀어나왔다는 걸까?
QUEST_20150317_000079	I should get back my consciousness.{nlThe world is not over.. isn't it?	나라도 정신 차려야지.{nl}아직 세상이 망한 것은 아니니.. 그렇지?
QUEST_20150317_000080	When favors continue, one believes that they are his rights.{nl}Maybe the fact that we are relying too much on the Goddess is negative for us.	호의가 계속되면 그게 권리인 줄 안다는 말이 있지.{nl}어쩌면 우리가 너무 여신께만 기댄 게 화를 부른 건 아닐까 생각돼.
QUEST_20150317_000081	Bulletin Board	알림판
QUEST_20150317_000082	Selamat datang di kota Tambang Klaipeda!	천혜의 광산도시 클라페다에 오신 것을 환영합니다!
QUEST_20150317_000083	Calm widow	담담한 미망인
QUEST_20150317_000084	Aku tidak tahu alasannya {nl} Tetapi satu hal yang pasti bahwa para Goddesses tidak menghilang secara bersamaan.	이유는 저도 잘 몰라요. {nl}하지만 확실한 건, 여신들께선 한꺼번에 사라지신 게 아니라는 거에요.
QUEST_20150317_000085	Goddess pertama yang menghilang adalah Goddess Gabija. {nl} Aku mendengar hal itu sejak lama. {nl} Lalu setelah itu, satu per satu Goddess lain mulai tidak merespon. {nl}	제일 먼저 자취를 감추신 분은 가비야 여신이라고 해요.{nl}아주 오래 전의 일이라고 들었어요.{nl}가비야 여신을 시작으로 한 분씩 응답이 없으셨다고 해요.{nl}
QUEST_20150317_000086	Goddess Vakarine telah menghilang sebelum Divine Day.{nl}Zemina dan Ausrine adalah yang terakhir namun juga menghilang.{nl}Semua terjadi empat tahun lalu.{nl}	바카리네 여신께선 신수의 날 전에 사라지셨다고 하셨고요.{nl}마지막엔 제미나 여신과 아우슈리네 여신을 끝으로 모든 여신께서 사라지시고 말았죠.{nl}그게 벌써 4년 전 일이네요. {nl}
QUEST_20150317_000087	Itu benar. Goddess Laima itu yang paling ganjil. {nl} Tidak ada yang tahu kapan dia menghilang. {nl}	맞아요. 제일 이상한 건 라이마 여신이세요.{nl}언제 사라지신 건지 아무도 모르거든요.{nl}
QUEST_20150317_000088	Selain itu, Goddess Laima adalah Goddess dari takdir dan masa depan, bukan? {nl} Harusnya dia tahu semua yang akan terjadi ya kan?	게다가 라이마께선 운명과 예지의 여신이시잖아요? {nl}아마 전부 알고 계시지 않았을까요?
QUEST_20150317_000089	A soldier taking a rest	휴식중인 병사
QUEST_20150317_000090	I was an adventurer myself like you, but after I got hit by an arrow..{nl}	저도 왕년에는 당신처럼 잘 나가는 모험가였지만 무릎에 화살을 맞아서 그만..{nl}
QUEST_20150317_000091	It doesn't matter. Come on you monster!{nl}	그래도 상관없습니다. 몬스터따위 나와 보라지요!{nl}
QUEST_20150317_000092	The goddess was in my dream..{nl}It was so enchanting..	저번엔 여신께서 나오는 꿈을 꾸었는데.. {nl}얼마나 황홀하던지..{nl}
QUEST_20150317_000093	I have my duty to protect this kingdom. That's why I am here.	하지만 왕국을 지켜야 하는 의무가 있기 때문에 지금 여기 있는 겁니다.
QUEST_20150317_000094	Uska was an old friend of mine. {Nl}	우스카라면 제 오랜 친구였지요.{nl}
QUEST_20150317_000095	We tested together to become knights, and Uska became who he is now due to my sincere support.{nl}Ah Ah, It was so fun in the past..I miss you Uska!	저랑 같이 기사 시험을 봤는데, 제 헌신적인 도움으로 지금의 우스카가 될 수 있었던 거지요.{nl}아아, 그땐 참 재밌었는데.. 보고 싶다, 우스카!
QUEST_20150317_000096	Don't trust his words too much.{nl}He was a famous blutter in our village.	저 친구 말 너무 믿지 않는게 좋습니다.{nl}우리 동네 유명한 허풍쟁이였으니까요.{nl}
QUEST_20150317_000097	Me? I am just leaving it because it's fun.	저요? 그냥 재밌으니까 내버려 두는 거지요.
QUEST_20150317_000098	Umm.. I will cancel what I said before about not trusting him too much.{nl}	음.. 너무 믿지 말란 말 취소하지요.{nl}
QUEST_20150317_000099	Everything he says are all lies so don't trust him.	전부 다 거짓말이니까 저 녀석 입에서 나오는 모든 말은 믿지 마세요.
QUEST_20150317_000100	Siauliai Guard	샤울레이 경비병
QUEST_20150317_000101	Di luar batas ini terdapat banyak monster, berhati-hatilah.	여기서부턴 몬스터가 나오니 위험한 행동은 자제하시길 바랍니다.
QUEST_20150317_000102	Tempat ini tidak begitu damai tapi setidaknya lebih baik daripada daerah lain. {Nl} Di hutan lain, tidak ada orang, yang ada hanya spirit beterbangan.	여기 숲도 썩 평화로운 건 아닙니다만, 그래도 다른 지역보단 나을 겁니다.{nl}어떤 숲은 사람은 없고 영혼만 돌아다닌다고 하더라고요.
QUEST_20150317_000103	Orang-orang sepertimu yang bermimpi tentang Goddess, kami menyebutnya Revelators. {Nl}	당신처럼 여신께서 나오는 꿈을 꿨다는 사람들을 모두 계시자라고 불러요.{nl}
QUEST_20150317_000104	Pertama kali aku pikir para Revelators itu gila. {Nl} Itu mulai terjadi semenjak para Goddesses menghilang. {Nl}	처음엔 계시자들을 보고 다들 정신이 나갔다고 생각했었어요.{nl}여신께서 자취를 감추신 지 오래되었으니까요.{nl}
QUEST_20150317_000105	Setelah semua itu, mereka tidak pernah menjawab kami sejak 4 tahun lalu.	4년 전의 신수의 날에도 우리들의 기도에 아무런 응답이 없으셨잖아요?
QUEST_20150317_000106	Masters dari tiap class berada diseluruh penjuru kerajaan. {Nl} Kenapa kamu tidak mencoba belajar dari mereka?	왕국 곳곳에 각 직업의 마스터들이 계십니다.{nl}그분들을 찾아가 가르침을 받는 건 어떨까요?
QUEST_20150317_000107	Kamu tidak tahu hal itu? Kamu pasti baru di area ini. {Nl} Itu adalah hari dimana Divine monument di kota bagian tengah mulai kacau. {Nl}	모르세요? 진짜로 외진 곳에서 오셨나 보네요.{nl}4년 전에, 수도의 중앙에서 신수가 솟아오르면서 폭주한 일 말이에요.{nl}
QUEST_20150317_000108	Itu adalah bencana yang membuat penduduk terluka dan mati. {Nl} Bahkan monster yang baik menjadi jahat dan muncul monster lainnya. {Nl}	그 재앙으로 인해 정말 많은 사람들이 죽거나 다쳤죠.{nl}얌전했던 몬스터들도 흉폭해지고 새로운 몬스터도 많이 생겨났어요.{nl}
QUEST_20150317_000109	Pergilah ke Klaipeda jika kamu penasaran dengan Divine day 4 tahun lalu. {Nl} Banyak korban selamat pergi ke Klaipeda.	4년 전의 신수의 날이 더 궁금하시다면 클라페다로 가 보세요.{nl}그 때 살아남은 사람들 중에 클라페다로 피난 온 사람들이 꽤 많으니까요.
QUEST_20150317_000110	Easter Woods Sentinel	동쪽 숲 경계병
QUEST_20150317_000111	Are you trying to enter Easter Woods?{nl}Never go there. Too dangerous!{nl}	동쪽 숲으로 들어가시려는 겁니까? {nl}절대 가지 마세요. 위험합니다!{nl}
QUEST_20150317_000112	Uk, They just never give up..!!	윽, 이 끈질긴 놈들 여기까지 쫓아오다니..!!
QUEST_20150317_000113	This scream... It's an attack!	이 비명소리는.. 습격입니다!
QUEST_20150317_000114	Safety Precautions	안전 수칙
QUEST_20150317_000115	1. Only authorized personnel may enter. {Nl} 2. Move only under the guidance of Mine director. {Nl}	1. 허가받은 인원 외엔 절대 출입 금지.{nl}2. 반드시 광산 소장의 인솔 하에 움직일 것.{nl}
QUEST_20150317_000116	3. Never enter prohibited areas. {Nl} 4. Report anyone who tries to enter the Mines without permission to Klaipeda Knight Templars.	3. 폐쇄된 구역은 절대 접근 금지. {nl}함부로 접근하려는 자를 발견 시 클라페다 기사단에 신고하시오.
QUEST_20150317_000117	Supply Base Soldier	보급기지 병사
QUEST_20150317_000118	Aku belum terbiasa dengan pertempuran nyata jadi aku agak sedikit gugup.	실전에 익숙하지 않아 긴장됩니다.
QUEST_20150317_000119	Farm Sentinel	농장 경계병
QUEST_20150317_000120	Temanku sedang bertempur di Miner's Village.{nl}Aku ingin membantunya, tapi East Forest juga sedang dalam masalah sehingga aku khawatir.	제 동료는 광산 마을에서 교전 중입니다.{nl}생각 같아선 지원을 가고 싶지만 동쪽 숲까지 난리이니 그저 걱정입니다.
QUEST_20150317_000121	Aku pikir aku sudah melihat semua macam monster dalam hidupku. {Nl} Tapi ternyata itu hanya Vubbe.	이번 임무로 평생 마주칠 몬스터는 실컷 본 것 같습니다.{nl}기껏해야 부베 정도나 몰려 다녔죠.
QUEST_20150317_000122	Chupacabra suka tinggal di dekat sungai dan daerah subur di arah utara.	츄파카브라들은 주로 위쪽의 개울과 수풀이 우거진 곳을 좋아한다고 합니다.
QUEST_20150317_000123	Klaipeda Guard Captain	클라페다 경비병 대장
QUEST_20150317_000124	Kamu adalah..	당신이 바로..
QUEST_20150317_000125	I heard they were seen in the depths of upper forest area. {Nl} To be safe, do not stimulate them too much.	여기서 숲 위쪽의 깊숙한 곳에서 보았다고 하더군.{nl}혹시 모르니 너무 자극하진 말고.
QUEST_20150317_000126	You do not have the items needed for the quest. Do you want to proceed after creating it?	퀘스트에 필요한 아이템이 없습니다. 생성 후 진행 하시겠습니까?
QUEST_20150317_000127	Klaipeda girl	클라페다 소녀
QUEST_20150317_000128	Pria itu adalah tetanggaku dan dulunya seorang monster hunter. {Nl} Tapi sekarang sudah berhenti karena monsternya semakin beringas dan berbahaya.	저 아저씨는 옆집에 사시는 분인데요, 예전엔 몬스터 사냥꾼이셨대요.{nl}하지만 지금은 그만 두셨대요. 너무 흉폭해서 위험하대요.
QUEST_20150317_000129	I hope the Revelators showing up is the sign of the Goddesses returning.	계시자들이 나타났다는게 여신께서 돌아오신다는 징조라면 참 좋을 텐데요.
QUEST_20150317_000130	Hanya bergantung pada Goddess adalah hal yang bodoh, {nl}namun lebih baik daripada tidak bergantung pada apapun.	여신께만 기대는 건 바보 같은 짓이지만 기댈 곳도 없어지는 것보단 나은 것 같습니다.
QUEST_20150317_000131	Klaipeda Madam	클라페다 귀부인
QUEST_20150317_000132	Tanaman masih bisa tumbuh di tanah ini dan kita masih diberikan kehangatan didalam rumah.{nl}Aku percaya bahwa Goddess masih ada disuatu tempat di dunia ini.	아직도 땅에선 작물들이 자라나고 집에선 따뜻하게 불을 피울 수 있어요.{nl}저는 아직도 여신께서 어딘가에 반드시 계실 거라고 믿고 있습니다.
QUEST_20150317_000133	Tolong berdoa. {Nl} Agar Goddess mengirimkan seseorang untuk menyelamatkan kita.	기도하세요.{nl}여신께서 우리를 구원해 줄 누군가를 보내주실 겁니다.
QUEST_20150317_000134	Hoplite master	하플라이트 마스터
QUEST_20150317_000135	If the sword is a symbol of authority, the spear is itself a pure weapon of destruction. {Nl} Authority and weapon. What would you choose if you were in a battlefield?	검이 권위의 상징이라면 창은 순수한 살상 무기 그 자체입니다.{nl}권위와 무기. 만약 당신이 전쟁터에 있다면 어떤 것을 드시겠습니까?
QUEST_20150317_000136	Machine Making Artisan	기계 제작 장인
QUEST_20150317_000137	Meskipun dunia sedang kacau, aku tidak bisa bersantai.{nl}Empat tahun telah berlalu, jadi kita harus tenang dan mulai dari awal.	아무리 세상이 이지경이라도 일을 놓을 순 없소.{nl}이제 4년이나 흘렀으니 마음을 추스리고 다시 시작해야하지 않겠소?
QUEST_20150317_000138	Mining adalah mata pencaharian utama di Klaipeda. {nl} Jika kita berhenti bekerja karena Divine Day, kita harus tetap bekerja dengan mengukir kayu.	클라페다는 광산으로 먹고 사는 도시요.{nl}신수의 날 따위로 우리가 일을 놓는다면 아마 나무나 깎아서 생활해야 할 거요.
QUEST_20150317_000139	Pamanku bilang, kamu harus teliti saat bertualang. {Nl} Terkadang, jika kamu beruntung, kamu bisa menemukan treasure chests disekitar. Kira-kira siapa yang membawanya ya?	아저씨가 그러셨는데요, 할 수만 있다면 구석구석을 잘 살피는 게 좋대요.{nl}가끔 운이 좋으면 보물상자를 발견할 수도 있다네요. 누가 갖다 놨을까?
QUEST_20150317_000140	Retired Hunter	은퇴한 사냥꾼
QUEST_20150317_000141	Aku melihat para prajurit bertarung melawan monster besar di Deep Canyon.{nl}Aku sangat kaget mereka dapat mengalahkan monster itu, tapi aku lebih terkejut dengan hadiah yang mereka dapatkan.	일전에 깊은 협곡에서 병사들이 거대한 몬스터와 싸우는 걸 봤소.{nl}그 엄청난 몬스터를 쓰러뜨린 것도 대단하지만 전리품이 어마어마하더군.
QUEST_20150317_000142	The oldman baking pottery	도자기 빚는 노인
QUEST_20150317_000143	I put my wish on each pottery I bake.{nl}As I do so, blesses from the Goddesses will be filled in full.	도자기 하나에 소원 하나씩 담는 것일세.{nl}그러다 보면 언젠간 여신의 은총이 이 도자기 전부에 가득 차겠지.
QUEST_20150317_000144	Warrior types go for Strength. {Nl} But you can also opt for agile movement or constitution. {Nl} You should weigh your options first on what you want to become.	검사 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림이나 강한 체력을 키울수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.
QUEST_20150317_000145	Wizard types go for Intelligence. {Nl} But you should not forget Spirit if you want to use your magic often. {Nl} Choose well between balance and concentration. {Nl}	마법사 계열이라면 역시 지능이죠.{nl}하지만 마법을 자주 사용하려면 정신력도 잊지 말아야 합니다.{nl}균형과 집중 중에서 잘 선택하셔야 해요.{nl}
QUEST_20150317_000146	Archer types go for Strength. {Nl} But you can't leave out agility. {Nl} You should weigh your options first on what you want to become. {Nl}	궁수 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림을 빼 놓을 순 없겠지만요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.{nl}
QUEST_20150317_000147	Cleric types go for Intelligence. {Nl} But you may also need great strength or spirit too. {Nl} You should weigh your options first on what you want to become. {Nl}	성직자 계열이라면 역시 지능이죠.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 거예요.{nl}
QUEST_20150317_000148	Doppelsoldner master	도펠죌트너 마스터
QUEST_20150317_000149	High risk, high returns.{nl}If you want high returns, then you should take high risks.	위험한 일일수록 가치 있는 경우가 많지.{nl}높은 보수를 원한다면 당연히 그만한 위험을 감당해야 할 줄도 알아야 하고.
QUEST_20150317_000150	Corsair Master	커세어 마스터
QUEST_20150317_000151	I don't need to help anyone if i don't benefit from it.	나에게 도움이 되는 일이 없다면 굳이 남을 돕는 고생을 할 필요는 없지.
QUEST_20150317_000152	Rock	바위
QUEST_20150317_000153	Blocked by a huge rock..	커다란 바위로 막혀있다..
QUEST_20150317_000154	Needs to be fixed..	망가져 수리가 필요하다..
QUEST_20150317_000155	Blocked by a rock..	바위로 막혀있다..
QUEST_20150317_000156	Magic Reseach Material	마법 연구 자료
QUEST_20150317_000157	It seems to be a research material from a magician at Magicians' Tower.{nl}Should I copy it?	마법사의 탑에 있던 어느 마법사가 쓴 듯한 연구 자료가 보인다.{nl}베껴갈까?
QUEST_20150317_000158	Hiding and infiltration is not everything.{nl}Battles skills are also necessary for Scouts.	은신과 잠입에만 능하다고 만사가 아냐.{nl}전투기술도 갖추고 있어야 진정한 스카우트지.
QUEST_20150317_000159	You will need various stuffs when travelling.{nl}It's better you buy them in advance.	여행을 하다 보면 사소한 물건들이 아쉬울 때가 많지요. {nl}미리 충분히 사두는 것이 좋답니다.
QUEST_20150317_000160	If the spells for control magics stop, revelation can't be protected anymore.	제어 마법의 주문이 끊긴다면 더 이상 계시를 지킬 수 없다.
QUEST_20150317_000161	Unnamed thief's gravestone	이름 모를 도둑의 비석
